0,Jan-2010,"$867,884.00",$nan
1,Feb-2010,"$984,655.00","$116,771.00"
2,Mar-2010,"$322,013.00","$-662,642.00"
3,Apr-2010,"$-69,417.00","$-391,430.00"
4,May-2010,"$310,503.00","$379,920.00"
5,Jun-2010,"$522,857.00","$212,354.00"
6,Jul-2010,"$1,033,096.00","$510,239.00"
7,Aug-2010,"$604,885.00","$-428,211.00"
8,Sep-2010,"$-216,386.00","$-821,271.00"
9,Oct-2010,"$477,532.00","$693,918.00"
10,Nov-2010,"$893,810.00","$416,278.00"
11,Dec-2010,"$-80,353.00","$-974,163.00"
12,Jan-2011,"$779,806.00","$860,159.00"
13,Feb-2011,"$-335,203.00","$-1,115,009.00"
14,Mar-2011,"$697,845.00","$1,033,048.00"
15,Apr-2011,"$793,163.00","$95,318.00"
16,May-2011,"$485,070.00","$-308,093.00"
17,Jun-2011,"$584,122.00","$99,052.00"
18,Jul-2011,"$62,729.00","$-521,393.00"
19,Aug-2011,"$668,179.00","$605,450.00"
20,Sep-2011,"$899,906.00","$231,727.00"
21,Oct-2011,"$834,719.00","$-65,187.00"
22,Nov-2011,"$132,003.00","$-702,716.00"
23,Dec-2011,"$309,978.00","$177,975.00"
24,Jan-2012,"$-755,566.00","$-1,065,544.00"
25,Feb-2012,"$1,170,593.00","$1,926,159.00"
26,Mar-2012,"$252,788.00","$-917,805.00"
27,Apr-2012,"$1,151,518.00","$898,730.00"
28,May-2012,"$817,256.00","$-334,262.00"
29,Jun-2012,"$570,757.00","$-246,499.00"
30,Jul-2012,"$506,702.00","$-64,055.00"
31,Aug-2012,"$-1,022,534.00","$-1,529,236.00"
32,Sep-2012,"$475,062.00","$1,497,596.00"
33,Oct-2012,"$779,976.00","$304,914.00"
34,Nov-2012,"$144,175.00","$-635,801.00"
35,Dec-2012,"$542,494.00","$398,319.00"
36,Jan-2013,"$359,333.00","$-183,161.00"
37,Feb-2013,"$321,469.00","$-37,864.00"
38,Mar-2013,"$67,780.00","$-253,689.00"
39,Apr-2013,"$471,435.00","$403,655.00"
40,May-2013,"$565,603.00","$94,168.00"
41,Jun-2013,"$872,480.00","$306,877.00"
42,Jul-2013,"$789,480.00","$-83,000.00"
43,Aug-2013,"$999,942.00","$210,462.00"
44,Sep-2013,"$-1,196,225.00","$-2,196,167.00"
45,Oct-2013,"$268,997.00","$1,465,222.00"
46,Nov-2013,"$-687,986.00","$-956,983.00"
47,Dec-2013,"$1,150,461.00","$1,838,447.00"
48,Jan-2014,"$682,458.00","$-468,003.00"
49,Feb-2014,"$617,856.00","$-64,602.00"
50,Mar-2014,"$824,098.00","$206,242.00"
51,Apr-2014,"$581,943.00","$-242,155.00"
52,May-2014,"$132,864.00","$-449,079.00"
53,Jun-2014,"$448,062.00","$315,198.00"
54,Jul-2014,"$689,161.00","$241,099.00"
55,Aug-2014,"$800,701.00","$111,540.00"
56,Sep-2014,"$1,166,643.00","$365,942.00"
57,Oct-2014,"$947,333.00","$-219,310.00"
58,Nov-2014,"$578,668.00","$-368,665.00"
59,Dec-2014,"$988,505.00","$409,837.00"
60,Jan-2015,"$1,139,715.00","$151,210.00"
61,Feb-2015,"$1,029,471.00","$-110,244.00"
62,Mar-2015,"$687,533.00","$-341,938.00"
63,Apr-2015,"$-524,626.00","$-1,212,159.00"
64,May-2015,"$158,620.00","$683,246.00"
65,Jun-2015,"$87,795.00","$-70,825.00"
66,Jul-2015,"$423,389.00","$335,594.00"
67,Aug-2015,"$840,723.00","$417,334.00"
68,Sep-2015,"$568,529.00","$-272,194.00"
69,Oct-2015,"$332,067.00","$-236,462.00"
70,Nov-2015,"$989,499.00","$657,432.00"
71,Dec-2015,"$778,237.00","$-211,262.00"
72,Jan-2016,"$650,000.00","$-128,237.00"
73,Feb-2016,"$-1,100,387.00","$-1,750,387.00"
74,Mar-2016,"$-174,946.00","$925,441.00"
75,Apr-2016,"$757,143.00","$932,089.00"
76,May-2016,"$445,709.00","$-311,434.00"
77,Jun-2016,"$712,961.00","$267,252.00"
78,Jul-2016,"$-1,163,797.00","$-1,876,758.00"
79,Aug-2016,"$569,899.00","$1,733,696.00"
80,Sep-2016,"$768,450.00","$198,551.00"
81,Oct-2016,"$102,685.00","$-665,765.00"
82,Nov-2016,"$795,914.00","$693,229.00"
83,Dec-2016,"$60,988.00","$-734,926.00"
84,Jan-2017,"$138,230.00","$77,242.00"
85,Feb-2017,"$671,099.00","$532,869.00"
